,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
LF_20110324,1.3986013986013957,-1.2068965517241348,-0.8726003490401424,2.8169014084507005,1.0273972602739656,0.33898305084745234,1.6891891891891886,0.16611295681063787,-1.8242122719734688,0.3378378378378289,3.367003367003374,3.583061889250816,0.3144654088050425,-1.8808777429467072,0.6389776357827559,0.0,1.904761904761898,2.8037383177569986,-4.242424242424248,3.322784810126578,1.8376722817764257,-0.15037593984962294,-3.1626506024096335,-0.4665629860031051,3.125,0.60606060606061,0.0,3.765060240963858,-2.177068214804068,3.857566765578646
S&T모티브_20110325,1.82724252491695,0.32626427406199365,-1.4634146341463428,-1.320132013201325,3.678929765886285,-0.1612903225806428,-0.646203554119551,-0.8130081300813052,-0.6557377049180357,-2.8052805280528004,-1.018675721561968,4.97427101200687,-0.8169934640522847,2.1416803953871573,3.2258064516129004,0.15624999999999115,-1.5600624024960985,4.120443740095081,2.43531202435312,1.7830609212481363,-0.14598540145985828,2.923976608187129,-6.107954545454541,-3.6308623298033305,-3.1397174254317095,0.9724473257698651,-2.08667736757624,-2.622950819672132,-1.5151515151515138,-2.393162393162396
LG디스플레이_20110328,0.1436781609195359,-2.152080344332852,-1.3196480938416408,2.2288261515601704,3.052325581395343,0.42313117066290473,3.3707865168539417,0.0,0.5434782608695564,1.35135135135136,-1.7333333333333307,-2.7137042062415184,2.231520223152028,-1.2278308321964526,0.27624309392264573,-0.5509641873278183,6.9252077562326875,3.756476683937815,-0.4993757802746579,1.5056461731492996,1.1124845488257096,-2.6894865525672333,2.261306532663321,-1.9656019656019712,-3.508771929824561,2.7272727272727337,-0.37926675094817053,-2.1573604060913687,-0.5188067444876765,3.6505867014341664
고려제강_20110329,1.5236910638628753,0.0,0.24503235192772088,-0.49650536607722673,-0.5028211722258424,1.2576190108787966,0.3733617799451361,0.49343353829802716,0.8611572745127694,2.3180047932893855,-0.47944954799985506,-0.3567225654604323,-0.23989665990035158,1.3281539030706613,-0.12413742743436762,-1.542679583257178,-0.9690713993985023,3.295590881823629,-1.8910384378062477,1.2023677395486487,1.0711021751051095,1.063368055555558,-4.194402691289102,-2.069480762047071,0.6179432407690033,-0.24641746910304413,0.9919051419450486,-0.6133815007149822,-2.339934118359777,1.387973481177074
유한양행_20110330,1.3336293430170842,-2.632155488091137,0.0,-0.33831565413050546,1.6957079157225996,0.3338037772949942,-0.33269323471073475,-0.9998255657220791,-1.347097972945921,-2.0482387419933583,0.6978517438005483,1.037877166702339,-0.3429483785302945,-0.6866223086857692,-1.3843849281469645,-1.754356680243041,-0.35764649914198365,1.0750854697211263,-0.35426894073586895,0.3555284676723059,1.0644938171634921,-0.7027442077852665,1.4137542656378788,0.34975467444635644,-1.3891871355655059,1.4087574123086144,-2.4314904441764758,-2.4912387627609283,-2.919498919186392,-0.3755767786243202
동아쏘시오홀딩스_20110330,0.46304473996314777,3.2263736263736353,-0.4465046110421643,-1.794028865777797,-1.3701016687614365,2.3152236998157827,-2.2628340300642424,-0.46304473996315887,1.3955964558694856,-4.127912791279131,-0.4785500065197512,1.92209425730121,2.35891502763852,-4.1469387755102005,-1.9234044783355002,-0.4902812103399935,-0.9853936204489266,0.4976001301624232,0.9902726622684543,-1.470843631019969,6.9650459636087625,-3.2551241586492816,0.9603920181334493,3.333938953488369,0.0,3.6860282574568304,-1.7768895348837188,-4.9782348661413405,-0.951256229235875,1.441243137717341
동국제강_20110330,1.5191008716612053,-1.496369509400619,2.7831497519549275,0.49356457242581975,0.9795674707622215,4.369323372924172,-0.23171987641606995,-0.6993548387096761,3.755295096026412,-3.847309888788697,4.707200166718772,1.7987311854708254,-2.871596852241065,-1.2480185189844728,-0.807705047519558,0.5805291548933944,-0.1149249157217258,-0.5778425506890672,4.6470361321846445,-0.22363118057603376,3.450653924780167,-0.7547259654302141,-7.691015952980685,9.03609761168429,0.7555534369339202,0.3193527783691641,-6.1757215619694374,1.814571866596304,-1.0021969341660328,-4.842288991397582
오리온홀딩스_20110330,0.6694970607446171,4.779670181130037,1.3932607461685231,2.000101786350461,-0.2444865781858097,-2.4558595508427983,-0.7588965234334943,1.5242327167510616,-3.2469845793679064,-0.38924832991426017,4.018587949516816,2.24388262767794,-0.3624627606752751,-2.695968505506552,-2.1356140530574663,4.113245067769111,4.071374717265641,-2.4921516541898114,-0.8469958888503659,2.0831251873314027,0.0,0.0,-0.11744555908980162,1.3228161285581352,1.6633625066486246,1.750297265160516,-0.22904688449493232,-3.3358320839580236,4.400930593253194,0.4596100278551507
빙그레_20110330,1.147540983606565,5.024311183144237,0.0,1.3888888888888842,1.0654490106544843,-3.4638554216867457,-0.15600624024960652,-0.31250000000000444,-4.5454545454545405,0.16420361247948545,1.80327868852459,2.0933977455716684,-2.996845425867512,5.040650406504055,-2.476780185758509,-1.5873015873015928,-0.6451612903225823,2.4350649350649345,-2.21870047543582,2.1069692058346856,-1.269841269841265,0.6430868167202508,2.396166134185296,0.15600624024960652,-0.4672897196261627,-1.0954616588419452,-3.0063291139240564,-2.283849918433933,2.8380634390651194,-1.9480519480519431
POSCO_20110330,-0.5802707930367522,-1.7509727626459188,-0.990099009900991,1.0000000000000007,0.0,-2.3762376237623783,-0.608519269776875,-0.7142857142857119,-1.336073997944498,0.4166666666666653,0.7261410788381717,0.9268795056642576,0.20408163265306367,-3.054989816700615,0.0,2.7310924369747798,-2.14723926380368,0.5224660397074253,-1.8711018711018657,-0.21186440677966045,1.0615711252653923,-0.42016806722688926,-1.2658227848101222,1.2820512820512777,0.21097046413502962,0.10526315789474161,-0.6309148264984188,-0.7407407407407419,0.2132196162046851,-1.5957446808510634
