dates,return
20110126,0.013191366
20110127,0.001398802
20110128,-0.002686246
20110131,-0.019141677
20110201,0.00120826
20110207,0.005302615
20110208,-0.006329574
20110209,-0.011934397
20110210,-0.019748055
20110211,-0.015761424
20110214,0.021582181
20110215,-0.002330652
20110216,-0.010700829
20110217,-0.005065509
20110218,0.017494162
20110221,-0.004702784
20110222,-0.016707617
20110223,-0.003536693
20110224,-0.005863971
20110225,0.006170205
20110228,-0.011261956
20110302,-0.00546107
20110303,0.021650455
20110304,0.018964988
20110307,-0.014995102
20110308,0.007229192
20110309,0.001784833
20110310,-0.012168309
20110311,-0.014428796
20110314,0.015029397
20110315,-0.024550232
20110316,0.020252468
20110317,0.001387604
20110318,0.009969207
20110321,0.009527802
20110322,0.004379176
20110323,-0.001428303
20110324,0.012270862
20110325,0.01015134
20110328,0.001730104
20110329,0.007680153
20110330,0.010283714
20110331,0.006605544
20110401,0.006669774
20110404,-0.002564742
20110405,0.007214028
20110406,-0.002411091
20110407,-0.003198863
20110408,0.002139419
20110411,-0.001992528
20110412,-0.015544226
20110413,0.016477746
20110414,0.008800057
20110415,-0.001236094
20110418,-0.002333805
20110419,-0.006060821
20110420,0.024105837
20110421,0.013823601
20110422,-0.001099052
20110425,0.006360886
20110426,-0.004475725
20110427,0.002402361
20110428,0.00023966
20110429,-0.006024303
20110502,0.017080478
20110503,-0.01252751
20110504,-0.010937768
20110506,-0.016570755
20110509,-0.003842358
20110511,0.013128561
20110512,-0.021935033
20110513,-0.001535605
20110516,-0.008476698
20110517,-0.000252507
20110518,0.016633592
20110519,-0.018774844
20110520,0.007668101
20110523,-0.026562332
20110524,0.002175596
20110525,-0.011627051
20110526,0.028702256
20110527,0.003691239
20110530,-0.003713719
20110531,0.023306312
20110601,-3.54E-05
20110602,-0.014111406
20110603,0.000286985
20110607,-0.006706355
20110608,-0.009062353
20110609,-0.007359907
20110610,-0.012479812
20110613,0.00278769
20110614,0.014381556
20110615,0.003142471
20110616,-0.020580629
20110617,-0.009892889
20110620,-0.006874014
20110621,0.016112561
20110622,0.007667969
20110623,-0.005060766
20110624,0.018452514
20110627,-0.010462615
20110628,-0.003794577
20110629,0.01553197
20110630,0.002039256
20110701,0.013082822
20110704,0.010402841
20110705,0.007846061
20110706,0.004368043
20110707,0.00333193
20110708,-6.99E-05
20110711,-0.012550253
20110712,-0.023224527
20110713,0.008771294
20110714,-0.001041966
20110715,0.005610905
20110718,-0.010300798
20110719,-0.000469806
20110720,0.013847711
20110721,-0.00431511
20110722,0.012141834
20110725,-0.010368378
20110726,0.008510334
20110727,0.002340094
20110728,-0.009409268
20110729,-0.010462791
20110801,0.018945545
20110802,-0.024649384
20110803,-0.027596224
20110804,-0.023375653
20110805,-0.036858607
20110808,-0.037514887
20110809,-0.036832337
20110810,-0.001241864
20110811,0.003901728
20110812,-0.016058768
20110816,0.051436757
20110817,0.004953969
20110818,-0.02103274
20110819,-0.064327976
20110822,-0.017176428
20110823,0.040930869
20110824,-0.0130633
20110825,0.00835036
20110826,0.008721699
20110829,0.029606987
20110830,0.00788871
20110831,0.019020367
20110901,0.000867195
20110902,-0.00911829
20110905,-0.046927049
20110906,-0.00978636
20110907,0.041782484
20110908,0.009952566
20110909,-0.021260536
20110914,-0.035347044
20110915,0.015234288
20110916,0.039023537
20110919,-0.009178947
20110920,0.009391467
20110921,0.008335789
20110922,-0.031146925
20110923,-0.057875458
20110926,-0.020309212
20110927,0.051872257
20110928,-0.006524923
20110929,0.029264588
20110930,0.000173634
20111004,-0.036803958
20111005,-0.020682197
20111006,0.030367167
20111007,0.0282665
20111010,0.0023885
20111011,0.017242873
